Name,Species,GCcontent,intergenicGC,GC3content,PhePer,Leu2Per,Leu4Per,IlePer,MetPer,ValPer,Ser2Per,Ser4Per,ProPer,ThrPer,AlaPer,TyrPer,HisPer,GlnPer,AsnPer,LysPer,AspPer,GluPer,CysPer,TrpPer,Arg2Per,Arg4Per,GlyPer,PheGC,Leu2GC,Leu4GC,Ser2GC,Ser4GC,ProGC,ThrGC,AlaGC,TyrGC,HisGC,GlnGC,AsnGC,LysGC,AspGC,GluGC,CysGC,Arg2GC,Arg4GC,GlyGC,ValGC
AM420293.embl,Saccharopolyspora_erythraea_NRRL_2338,71.14596048,70.78878153,92.39462423,2.856446406,11937,228541,3.152228964,1.656348583,9.095227513,13139,84834,5.894979104,5.493553766,13.09393379,1.882620664,2.352048428,2.860279348,1.772154406,1.759363577,5.991319462,6.08167354,0.826408197,1.521075153,13139,181495,9.398202221,98.50737267,98.4669515,97.58861648,93.14716739,95.56899356,94.18614845,95.15753494,92.50060848,95.80912294,93.90815542,93.67161033,96.88935333,93.68696759,92.10304995,83.56406897,95.26812236,89.77852196,91.04548335,79.66584794,96.20529478
AM494475.embl,Orientia_tsutsugamushi_str._Boryong,30.5310498,26.69938922,21.06033167,4.400812624,24960,16816,9.897539829,2.124687546,5.514371626,9626,17629,2.713809945,5.023513641,5.776832385,4.121197566,2.117330497,3.968524314,7.004099877,8.357819052,4.777471996,5.444039004,1.483111594,0.793018691,9626,5123,4.545153788,13.67078739,22.62820513,18.87488107,35.52430695,11.12938907,7.657576305,12.40548319,9.498154668,19.53380508,18.37962963,26.10843522,19.85584829,27.64404046,15.4706335,25.70785505,33.70786517,24.07022647,20.88619949,24.0577991,15.33641454
AM711867.embl,Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382,72.66422693,71.74126638,95.44048338,2.773130133,960,97423,4.098867147,1.603142972,9.407497222,1915,39132,5.733766926,6.056120094,14.19439611,1.816724417,1.971153602,2.627528372,1.526332611,1.690908261,6.57318391,5.293410379,0.461664122,1.367134588,1915,74470,9.270824349,98.91698072,89.89583333,98.83497737,97.38136382,96.64468977,96.48557777,97.25903463,94.8232603,97.43088523,94.83708241,98.04603027,96.76926145,98.25382538,92.2387046,96.77592486,97.0989011,83.86422977,92.07868941,88.22042246,98.59141258
AM743169.embl,Stenotrophomonas_maltophilia_K279a,66.32404518,66.17589082,84.0329278,3.251464421,12271,146305,4.000069322,2.15195463,7.381234619,3477,42034,5.320023569,4.906658348,12.82208589,2.285882638,2.246785207,4.39728259,2.627153305,2.685106235,5.643755849,5.045232401,0.829780597,1.604173166,3477,104352,8.597344979,92.07743476,97.48186782,95.27425584,85.56996964,89.13260694,87.30845408,91.90460717,82.89297975,77.81046247,67.30122489,92.41561963,80.69555122,91.06211597,67.08797013,55.23083265,86.5497076,76.013805,81.02480067,79.40751969,89.42410639
AM889285.embl,Gluconacetobacter_diazotrophicus_PA1_5,66.43110338,60.2509252,83.25350926,3.329214758,7189,111780,4.716949716,2.497959212,7.447163691,5225,41850,5.859277937,5.558197857,12.91510583,2.097911652,2.398308623,3.1571568,2.249561743,2.125919101,5.861668817,4.552235174,0.992129736,1.417706344,5225,91612,8.911150637,85.02398112,88.96925859,92.89407765,87.32757233,89.77538829,90.85384514,91.62736393,90.78551547,46.85986406,45.22020864,88.65418943,67.31448093,77.34666827,68.8842921,50.49332233,83.81960582,75.19617225,85.8904947,81.94998084,90.74127157
AM902716.embl,Bordetella_petrii,65.48282416,60.60582936,82.85147339,3.265222778,19490,152675,4.395429565,2.421640555,7.418500966,4055,51668,5.463376014,4.900527522,13.20752235,2.453520841,2.257031222,4.127785273,2.462415175,2.792194533,5.36503725,4.937107036,0.967164875,1.481846163,4055,114359,8.399946885,80.87281796,93.61723961,93.1200262,89.33817569,87.2377487,86.69173622,88.89669981,88.1457453,69.28850425,65.65465949,77.30079968,75.07694656,72.20602091,73.27853924,45.42767248,88.12253092,69.74106042,87.87065294,87.39215701,87.73113359
AM942759.embl,Proteus_mirabilis,38.89968663,36.60844774,31.45083444,4.07262013,69130,50211,7.267066027,2.547055979,6.303775104,8812,44824,4.052756666,5.480486759,8.13374036,3.315369095,2.208329413,4.682201987,4.683683035,5.545652863,5.142285135,5.852142641,1.065918825,1.275095048,8812,44875,6.635529814,21.95862836,19.62823666,39.89962359,36.80617606,22.00606818,26.92663213,40.52967078,38.06259506,21.41111549,27.01199306,24.81021137,27.0065661,16.34121436,16.70139771,28.81366025,29.51369023,19.67771221,31.32924791,36.48788814,39.55526072
AM999887.embl,Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel,34.19024524,32.87630071,26.24357853,4.494425463,20717,19562,8.662884261,2.048593072,6.305485615,11067,18389,3.059108944,4.675893932,5.936991055,3.433886035,1.962807421,3.19152535,5.811098815,8.621806179,5.121470305,7.080411554,1.377807204,0.826394359,11067,5672,5.730634101,19.38709677,32.12337694,27.97771189,34.86584026,17.65729512,14.81832543,20.58291561,15.61660562,27.02132151,30.34593131,29.9061175,25.06133311,29.33774278,19.54706299,29.81025186,35.56646791,28.90575585,26.76304654,25.39214033,24.0352558
AP006628.embl,Onion_yellows_phytoplasma_OY-M,27.75984302,23.47480343,20.19073543,5.687408925,16205,6418,8.836019295,1.769809361,4.661597726,2711,7716,3.250566288,5.881221355,4.47403731,3.97147158,2.064126425,5.874488417,7.061890128,10.7582731,4.539442994,5.999528694,1.033025061,0.631453401,2711,2764,4.208567183,13.57179097,20.7775378,18.21439701,29.66816648,21.59149819,20.75750851,24.17205004,23.74502849,20.64664568,31.45386766,2.316823578,29.7398529,6.370138578,22.79084552,6.108216433,26.35009311,9.147915898,33.21273517,26.29413781,18.63200248
AP006840.embl,Symbiobacterium_thermophilum_IAM_14863,68.66840431,64.70149076,90.59934901,3.098348403,4928,108766,4.369572031,2.090417929,8.58994575,6203,29593,5.77774563,4.946305003,12.04658228,2.508595539,1.967064497,3.411886679,2.067269439,2.497504521,4.84716094,6.584689572,0.871850512,1.451669681,6203,80270,8.954406269,87.81360891,91.47727273,95.50319034,91.56157768,91.99472848,92.07284503,94.33969622,90.76520319,87.91665065,84.83526182,94.5755717,91.9057616,93.01822675,83.01597724,84.78066642,87.77654867,84.2656779,91.42643578,86.1609547,92.68303637
AP007255.embl,Magnetospirillum_magneticum_AMB-1,65.0935104,57.16801086,85.03016362,3.379810686,14357,135425,4.69394605,2.588282422,7.636600283,6039,56294,5.201307299,5.293865523,12.59721519,1.986652202,2.130889906,3.083132187,2.483759587,3.505659792,5.64776059,5.69110026,0.989429632,1.362670325,6039,96612,8.707582323,86.01391529,94.39994428,92.61140853,88.10914517,91.83039045,90.84743981,93.02833088,91.99746037,52.85252219,55.07506737,85.02061993,66.05565189,88.91835501,68.9538726,66.87206467,86.16139284,76.7842358,86.63934087,83.28753788,91.13711027
AP008230.embl,Desulfitobacterium_hafniense_Y51,47.35989346,40.5940407,52.56794376,4.05147798,57541,112120,6.99015873,2.607472137,6.852787023,23197,56943,4.124175137,5.15563548,8.162508385,3.40201713,1.92795576,3.910588668,3.756246062,5.82657223,4.820475667,7.058597735,1.190493088,1.13242176,23197,54706,7.634620879,36.56151468,54.67232061,67.73724581,61.90886567,59.44365418,61.88032142,62.29007816,56.97641891,29.25426742,28.4145834,55.74106805,37.67723068,42.84382778,30.79936501,41.18937917,56.75703696,45.87662198,69.11673308,53.91106836,57.34303519
AP008955.embl,Brevibacillus_brevis_NBRC_100599,47.27355285,41.63894831,50.82551293,4.11471927,69830,114588,6.628376001,2.818019968,7.45271621,17233,70785,4.067755932,5.625182385,7.967240208,3.31503345,2.184913369,4.27950004,3.598940734,5.668491201,4.94751397,7.083009472,0.761940606,1.220937685,17233,72205,7.051427855,40.05594072,73.8923099,66.87873076,58.78778395,55.63608109,45.72516627,56.29842236,46.10760815,45.57555614,35.62922835,44.12297025,45.7313469,42.41217055,37.24381236,43.60599433,57.61328656,33.4010329,49.62260231,46.75464313,51.79384341
AP008971.embl,Finegoldia_magna_ATCC_29328,32.31277436,26.79364643,26.25190461,4.617516935,32349,15977,9.301855965,2.670685791,6.568942412,15381,23756,2.696381694,5.007251299,5.194500028,4.065683917,1.361224827,2.593945624,6.319461017,9.577221743,6.606575735,7.325831146,1.013713216,0.536963266,15381,2826,5.790942302,34.42929273,47.80673282,15.96670213,36.81893769,19.8181512,11.80555556,13.81434228,18.95320893,39.65774145,48.10519218,8.676574664,31.75110388,22.41518114,25.70023341,13.00305718,36.36363636,12.05383265,14.75583864,18.36741163,22.5665819
AP009152.embl,Kocuria_rhizophila_DC2201,71.16380109,71.89879546,93.18563795,2.857688375,1483,76018,3.440782416,1.939713377,9.175503518,2310,35311,5.749669011,6.100002763,12.76074051,1.93971094,2.432991918,3.203751297,1.998497672,2.102379355,5.844757806,6.01345563,0.695391773,1.455097237,2310,57756,9.032179455,97.83736264,93.1220499,97.89918177,90.18046174,94.59941661,94.86159963,95.23083893,91.74311927,96.83978759,95.94713202,97.11429132,95.66939032,95.19627173,93.01310982,92.03308754,94.9783237,82.68398268,89.20285338,81.6660872,97.01010322
AP009153.embl,Gemmatimonas_aurantiaca_T-27,64.27436141,61.57732132,77.00294798,3.218340115,20821,120099,4.221622358,2.18612735,8.404972943,2287,55182,5.388806103,6.3155448,12.71936046,2.105017745,2.073557646,3.449094328,2.461120794,2.255225677,5.512399352,5.00686083,0.690507055,1.433611465,2287,112820,8.440646449,74.13484617,98.09807406,93.59112066,68.02403676,83.13942952,81.58930387,86.36237282,82.21248075,63.62089672,60.37997833,85.1718381,65.76597141,84.72053558,54.23577671,51.29384704,66.77514492,58.19851334,67.25669208,63.76448663,89.8411717
AP009178.embl,Nitratiruptor_sp._SB155-2,39.68862541,33.34686567,37.59541985,5.132182312,20007,38636,8.476364326,2.291773559,6.287719203,11616,16547,3.577016602,4.618422211,6.955742802,4.057417856,2.062660444,3.362300778,4.242330852,8.886661203,5.312015281,7.454093486,0.872748701,0.856831282,11616,11730,5.951252057,24.45558928,63.25785975,44.29547572,41.65962151,40.35172539,31.05945844,42.93466305,38.00423595,29.0555486,30.47368853,32.47381144,37.38873588,20.44969512,21.43449155,42.42844162,36.39891347,20.2565427,31.42369991,32.4825722,43.59582032
AP009179.embl,Sulfurovum_sp._NBC37-1,43.87148618,34.31307464,48.53285086,4.697232651,14765,60003,7.631401508,2.841897376,6.495239352,15066,28451,3.432946502,5.23975364,7.337492833,3.968737746,2.19299097,2.998619108,4.252810639,8.059257994,5.606007074,7.163166552,0.865289916,0.945917439,15066,15694,6.381610195,46.67585067,66.76600068,61.60358649,45.98480895,47.60465361,53.89052251,49.89996789,47.40016932,40.59544773,35.64473296,72.40397065,46.17631843,32.07329019,39.79961678,42.03327973,39.23122943,30.59869906,38.93844781,37.75299128,53.04654499
AP009380.embl,Porphyromonas_gingivalis_ATCC_33277,48.35928363,41.21779936,54.88126921,4.43072333,17643,48464,6.765911809,2.682388595,6.337801277,7805,28304,4.04056899,5.307982128,7.750124682,3.871384415,2.127312128,3.31057433,4.036302596,5.68769116,5.395222522,6.70118032,1.164136989,1.017314202,7805,33267,6.898611362,62.61579839,80.4001587,70.49356223,60.28471627,61.63793103,63.33151283,60.79545455,47.81890661,41.8734562,42.56569848,56.37914945,43.06750255,50.80572153,43.77880184,44.96597146,52.53380513,41.06342088,48.94039138,43.76652734,55.02553389
AP009384.embl,Azorhizobium_caulinodans_ORS_571,67.31902211,64.41369248,86.32816334,3.614380749,6899,161275,4.651630816,2.269789537,7.823632083,3808,57952,5.647264167,5.476325058,13.52319666,2.093693515,1.944867168,2.968265701,2.343766499,2.922487313,5.260539278,5.320790345,0.811836539,1.243532327,3808,112333,8.858894486,89.71798794,94.10059429,91.54983723,92.44540187,91.66551629,91.64402697,93.92275846,90.87702215,38.73379417,56.41467855,92.17988156,67.22762569,91.74495218,67.7923274,71.08835993,90.36725325,73.87079832,89.32993866,86.97886722,93.07848041
AP009389.embl,Pelotomaculum_thermopropionicum_SI,52.961104,43.67713558,64.01270372,3.888791859,19620,70318,6.141703512,2.248433003,7.809182163,22241,26019,4.586025904,4.494792576,9.45678252,3.075850056,1.680003125,3.008516643,3.312666035,5.639690404,4.589473007,7.212718431,1.2677296,0.98506715,22241,34201,8.435290981,38.92270417,55.60652396,74.20859524,80.78954842,66.95491756,75.5787733,74.26760059,72.56081262,61.95972954,62.57437932,76.5955009,64.67568505,47.07020904,60.20479696,43.22946537,76.68811747,74.0614181,85.1583287,71.02108647,55.78476524
AP009484.embl,Macrococcus_caseolyticus_JCSC5402,36.87685628,30.46837757,31.05695333,4.468503745,28981,27951,8.58748202,2.94442812,6.865504937,8046,21942,3.20855615,5.660916461,6.587085902,3.94186156,2.402033839,3.573017218,4.976151746,7.216978528,5.72747728,7.066323797,0.659926166,0.712687791,8046,15353,6.333667761,35.94187103,22.51820158,39.44760474,31.85050688,19.82499316,29.52337583,29.84800688,25.70548367,22.99328693,22.11408489,46.39465673,29.89038236,34.02541896,22.36111111,23.10290165,23.02583026,16.05766841,19.95049827,25.72153586,32.66493261
AP009510.embl,uncultured_Termite_group_1_bacterium_phylotype_Rs-D17,35.20740201,32.77149713,30.49229833,4.719127224,10721,11201,9.215975265,2.245629493,6.627924673,7688,11773,3.084674351,4.681479939,6.808551541,3.510409074,1.479458199,2.452680567,5.209342935,9.771873473,5.154073516,6.76089168,1.325665035,0.678051633,7688,2585,6.4200636,17.02452686,39.85635668,29.83662173,48.19326864,32.10736431,46.72812257,34.47685858,34.84117647,25.62464347,27.8830536,59.79751796,29.26885523,17.7671216,30.34423809,21.12434098,45.95166163,19.60197711,50.0967118,37.24266999,26.59375189
AP009552.embl,Microcystis_aeruginosa_NIES-843,42.33063114,39.62510916,39.11356453,4.096220868,94017,83866,7.168985991,1.663250728,5.972377612,23829,60801,4.621168667,5.353849144,7.256445739,3.250587324,1.760805791,5.032406172,4.512064839,5.615723572,4.77292963,6.56036458,1.082014654,1.464162011,23829,60677,6.441290593,25.24570971,27.48226385,52.53618868,35.85352746,45.99924343,57.74719047,50.37480553,49.53519718,29.44887698,35.49670298,30.33730408,28.57882077,22.18239432,24.32639678,26.81216575,27.83577302,28.11700029,47.55014256,37.62845695,49.1262177
AP010904.embl,Desulfovibrio_magneticus_RS-1,62.76942155,57.9549081,79.53390557,3.831095774,22432,143730,4.571621479,2.334874153,7.315540137,7319,54697,5.367842597,4.914988963,12.56982451,2.465375908,1.881033807,3.009062984,2.628521438,4.077718747,5.459792574,5.755280392,1.33373441,1.117323573,7319,94715,8.291917531,60.64185425,80.68384451,83.94698393,84.14839089,84.04117228,86.91774034,87.24242991,89.54928312,66.50771239,61.15921788,74.72880061,71.06269209,66.52063267,76.03122857,49.78203314,82.69069779,58.42328187,85.27371588,83.96831683,87.30607628
AP010946.embl,Azospirillum_sp._B510,67.76023398,63.10428313,87.86331706,3.20438466,6900,92652,4.326559036,2.317659582,7.523707245,3188,30906,5.654500339,5.349520611,13.15167393,1.923218102,1.99526799,2.97523036,2.267211743,2.958764811,5.897393409,5.610452373,0.847818472,1.311056249,3188,73940,8.921181408,93.25783858,96.91304348,94.3573803,93.60223394,93.9785155,93.23020996,95.29681619,93.84858296,50.2562984,48.24704336,87.85293807,78.37450273,88.85226145,73.55953905,74.3158367,88.01335972,79.70514429,88.68542061,85.39922882,93.37180613
AP010953.embl,Escherichia_coli_O26:H11_str._11368,50.68482283,42.04061853,55.53766521,3.753444375,42917,128938,5.861465027,2.725499604,6.947311208,7871,57219,4.402727482,5.461698069,9.46586108,2.871660317,2.215282533,4.433511161,3.989853411,4.500970708,5.200517791,5.882087687,1.167976075,1.532931021,7871,86486,7.281602723,42.2566797,48.66602978,80.26415797,63.47492372,51.56329191,64.43798053,68.7230295,61.30286208,43.4487668,42.57565477,67.65890506,53.93309222,24.94222626,37.8190899,32.62020607,55.36394523,37.70804218,53.62139537,54.66398038,58.59592035
AP010968.embl,Kitasatospora_setae_KM-6054,74.19750348,73.08089782,95.95990738,2.538656295,6221,274723,2.586801604,1.307915421,8.204211324,6022,83431,6.754485172,6.014598723,14.93096104,1.982223451,2.302317282,2.710435936,1.654804013,1.699071058,5.769053731,5.298882864,0.761784926,1.528309951,6022,205175,9.69981067,99.3981853,98.82655522,99.12020472,93.81383215,97.66154067,97.69169649,97.87734313,96.90849318,98.83003953,97.77441255,94.86768128,98.3050045,96.70524763,97.27431994,84.5080731,95.78833693,87.59548323,95.03350798,91.57088277,98.08191837
AP011112.embl,Hydrogenobacter_thermophilus_TK-6,44.00026389,37.02477988,46.46121824,4.730237182,13702,47718,6.992267967,2.317289278,7.685718986,27139,19976,4.022659648,4.205052644,6.260371366,4.215245193,1.772967212,2.611974994,3.1432393,7.771908618,4.756523232,7.993283646,0.994041829,1.024977111,27139,2997,6.914661536,23.79314255,49.89782514,42.30479065,64.62960087,41.81517821,40.10490754,46.04524579,36.98943159,59.38998006,56.89359556,64.87985213,60.62123108,53.54439408,48.32330827,55.31419879,56.50296816,48.34739674,61.02769436,35.71594818,46.83232126
AP011121.embl,Acetobacter_pasteurianus_IFO_3283-01,53.0368238,46.21399191,53.30460581,3.619552381,20438,67717,5.009188582,2.573151566,7.16801567,4709,33182,5.392862286,5.719388196,11.40789815,2.360687847,2.466111703,3.936860904,3.018694012,3.593167612,5.20897543,5.255868883,1.15032981,1.436068785,4709,51000,8.048045626,31.49450899,73.45630688,68.55885524,69.70383171,46.4950877,55.67448618,57.57655117,53.08750454,38.47918395,36.42309849,72.2672598,54.47709924,43.58045277,26.38354346,23.85952605,61.13782051,51.15735825,64.58823529,63.0771213,52.70120393
AP011529.embl,Deferribacter_desulfuricans_SSM1,31.11826097,28.38127575,21.94882879,5.431990333,42498,25253,9.703816601,2.048229255,6.646976599,20803,25330,3.081093803,4.468870462,5.47992388,4.372285799,1.48034294,2.049517938,5.822777907,9.847186703,5.780728418,7.139228299,1.002012061,0.614668814,20803,2460,6.037761302,11.59048877,30.43672643,19.93822516,25.69565217,14.31504145,10.14020215,15.33125662,12.67808506,18.49602836,22.5884634,36.25096282,22.88221231,20.51883699,12.68619662,29.11188839,24.60613005,25.54439264,20.93495935,28.56124171,19.55695656
AP011615.embl,Arthrospira_platensis_NIES-39,43.65035535,42.70524189,40.97874304,3.792395293,96827,95330,6.879998085,1.901123304,6.211500873,26146,75025,5.030353093,5.684321305,7.287680715,3.153935563,1.938124965,5.220046319,4.559983545,4.601502745,5.227120363,6.238218995,1.06181409,1.577892849,26146,74573,6.798265662,24.61509764,38.89927396,53.95153677,39.55549647,41.80606465,50.40403276,46.51305272,48.1960187,27.61387164,37.37821827,35.22292529,34.289192,27.04051465,28.96449057,29.24023029,32.18879721,42.53423086,56.6277339,38.8755483,46.71525813
AP012027.embl,Erysipelothrix_rhusiopathiae_str._Fujisawa,36.55623983,30.69360739,27.64754916,4.563566972,25798,25401,8.250754146,2.888750582,7.257374187,3488,23279,3.143117737,5.534144983,6.188299236,4.013329795,2.132542866,3.505519193,4.994187372,6.624339771,5.949252582,6.886188374,0.817319014,0.732839665,3488,18229,6.241005379,25.781218,27.81223351,28.12094012,21.2418609,30.07861162,26.91918892,34.09658899,28.81304742,25.28757044,25.95968449,15.20046918,28.05284233,23.70848969,17.97304514,21.20833786,20.16922021,14.47821101,20.94464864,22.12206517,27.05382436
AP012029.embl,Anaerolinea_thermophila_UNI-1,53.84967294,45.83460418,60.19375092,4.109067664,32687,92717,5.700547246,2.341594764,7.484438754,7572,38381,5.548488631,5.23859354,9.05620024,2.97917494,2.037016826,4.176567749,3.082351021,3.528346826,4.414010303,6.675996841,0.816695999,1.699699826,7572,62910,7.442984898,47.73457727,68.73680668,80.3455677,60.94840962,60.08702222,65.35810509,71.93102241,64.32260547,55.61815047,46.3013822,59.97364954,54.33068523,38.28238719,40.68856615,36.07627107,56.65356541,43.54199683,69.4817994,59.3104638,66.32928144
AP012035.embl,Acidiphilium_multivorum_AIU301,67.57917444,60.6048807,85.4271392,3.52988006,6010,113676,5.11543475,2.296449296,7.067808621,4227,35649,5.743655244,5.111760435,14.7747732,1.979406336,2.243957063,2.658454863,2.262328641,2.278513127,5.219015458,4.988583376,0.856203032,1.297295879,4227,87893,9.071272975,87.64777318,91.78036606,92.07924276,88.01755176,90.51866813,91.48871356,92.26095737,91.50669683,51.01652966,52.72904483,87.93602738,70.52977572,80.59512382,63.29014198,67.04487663,89.19995913,77.57274663,90.63179093,86.83974501,90.85777943
AP012044.embl,Oscillibacter_valericigenes_Sjm18-20,53.32115203,45.07128142,65.85458463,3.917303657,22579,98760,5.906870303,2.764975863,6.93562029,11272,48954,3.938151342,5.724393614,9.217371591,3.521435462,1.799480155,3.411014077,3.704704839,5.371251281,5.462648163,6.379787734,1.721955307,1.009884022,11272,57549,7.61598407,43.05516209,73.47092431,78.33029567,74.28969845,70.82158761,76.20820837,73.20778232,70.80409357,44.10678912,54.41169993,76.60756199,56.97749059,54.93506494,58.05290729,57.83954375,71.84090595,50.07984386,77.10820344,63.60457129,68.18218184
AP012046.embl,Tetragenococcus_halophilus_NBRC_12172,36.04108135,30.49424648,27.56082928,4.601253641,47150,23896,7.492935035,2.601892409,6.65993425,7175,27200,3.281374282,5.574603588,6.928959434,3.743006295,1.837705332,4.604104059,4.830780173,7.030488616,5.786213206,7.443256318,0.610396697,0.924349901,7175,21020,6.282050238,16.15091891,29.31919406,25.19250084,30.42510973,25.19117647,25.29886246,31.43900657,27.94036985,21.42805338,22.45365241,18.69398585,25.34700759,20.2390146,22.34394426,17.04323723,22.748499,20.18118467,26.37012369,33.54867983,31.58806506
